Plot_id,Forest_type,Tenure,C_Tree_total,Scale_factor,C_ha,Shannon_index,Simpson_index
64,Dry_Hill_Forest,Protected_Area,20.171597294,0.04,504.28993235,1.05492016798614,0.64
65,Dry_Hill_Forest,Protected_Area,7.43418469,0.04,185.85461725,0.867563228481461,0.5
66,Dry_Hill_Forest,Protected_Area,13.582249415,0.04,339.556235375,0.867563228481461,0.5
67,Dry_Hill_Forest,Protected_Area,27.110161219,0.04,677.754030475,1.01140426470735,0.611111111111111
68,Dry_Hill_Forest,Protected_Area,5.238328931,0.04,130.958223275,0.679193265991526,0.486111111111111
69,Dry_Hill_Forest,Protected_Area,7.826264316,0.04,195.6566079,0.693147180559945,0.5
70,Dry_Hill_Forest,Protected_Area,4.158382767,0.04,103.959569175,0.636514168294813,0.444444444444444
77,Dry_Mixed_Deciduous_Forest,Protected_Area,1.979312306,0.04,49.48280765,0.661563238157982,0.46875
78,Dry_Mixed_Deciduous_Forest,Protected_Area,2.661368662,0.04,66.53421655,2.06877989040605,0.847222222222222
79,Dry_Mixed_Deciduous_Forest,Protected_Area,3.034265628,0.04,75.8566407,2.05846106236993,0.857142857142857
80,Dry_Mixed_Deciduous_Forest,Protected_Area,2.00149619,0.04,50.03740475,2.34090267910622,0.872969596001666
81,Dry_Mixed_Deciduous_Forest,Protected_Area,2.278197261,0.04,56.954931525,1.62555028327722,0.734375
82,Dry_Mixed_Deciduous_Forest,Protected_Area,1.375999141,0.04,34.399978525,1.96869320850494,0.822222222222222
83,Dry_Mixed_Deciduous_Forest,Protected_Area,1.78474603,0.04,44.61865075,1.29043365352889,0.579861111111111
84,Dry_Mixed_Deciduous_Forest,Protected_Area,3.234769101,0.04,80.869227525,1.81671754265109,0.755198487712665
85,Dry_Mixed_Deciduous_Forest,Protected_Area,2.109340424,0.04,52.7335106,1.94769671474893,0.790204081632653
86,Dry_Mixed_Deciduous_Forest,Protected_Area,2.755668962,0.04,68.89172405,2.05051503211449,0.854591836734694
87,Dry_Mixed_Deciduous_Forest,Protected_Area,6.183560294,0.04,154.58900735,1.90022561488552,0.83
88,Dry_Mixed_Deciduous_Forest,Protected_Area,3.687377474,0.04,92.18443685,2.03595165673417,0.815948736205055
89,Dry_Mixed_Deciduous_Forest,Protected_Area,2.048080702,0.04,51.20201755,1.95598384658436,0.820987654320988
90,Dry_Mixed_Deciduous_Forest,Protected_Area,2.201431302,0.04,55.03578255,2.17761572521185,0.875346260387812
91,Dry_Mixed_Deciduous_Forest,Protected_Area,4.436171646,0.04,110.90429115,1.93614700983095,0.8096
92,Dry_Mixed_Deciduous_Forest,Protected_Area,4.025534282,0.04,100.63835705,2.16815523601597,0.87037037037037
93,Dry_Mixed_Deciduous_Forest,Protected_Area,6.71141781,0.04,167.78544525,1.49417513828931,0.75
94,Dry_Mixed_Deciduous_Forest,Protected_Area,3.395063164,0.04,84.8765791,2.10556124211643,0.842249657064472
95,Dry_Mixed_Deciduous_Forest,Protected_Area,3.814504872,0.04,95.3626218,1.99134641341099,0.853333333333333
96,Dry_Mixed_Deciduous_Forest,Protected_Area,3.393225101,0.04,84.830627525,1.93380999892063,0.835555555555556
97,Dry_Mixed_Deciduous_Forest,Protected_Area,2.485521502,0.04,62.13803755,1.77213938843753,0.76530612244898
98,Dry_Mixed_Deciduous_Forest,Protected_Area,4.43970837,0.04,110.99270925,1.74897075077131,0.8
99,Dry_Mixed_Deciduous_Forest,Protected_Area,3.86617182,0.04,96.6542955,1.73286795139986,0.8125
100,Dry_Mixed_Deciduous_Forest,Protected_Area,5.827014423,0.04,145.675360575,1.33217904021012,0.72
101,Moist_Mixed_Deciduous_Forest,Reserve,17.876154686,0.25,71.504618744,1.56650197307628,0.717687074829932
102,Moist_Mixed_Deciduous_Forest,Reserve,38.39799946,0.25,153.59199784,1.99150936135661,0.85207100591716
103,Moist_Mixed_Deciduous_Forest,Reserve,29.02852632,0.25,116.11410528,2.31957499667359,0.885
104,Moist_Mixed_Deciduous_Forest,Reserve,28.08541585,0.25,112.3416634,2.22002532783454,0.8828125
105,Moist_Mixed_Deciduous_Forest,Reserve,13.244724515,0.25,52.97889806,1.77050788910989,0.7776
106,Moist_Mixed_Deciduous_Forest,Reserve,27.65356193,0.25,110.61424772,2.05985823261515,0.847107438016529
107,Moist_Mixed_Deciduous_Forest,Reserve,15.467517012,0.25,61.870068048,1.54400914321672,0.710775047258979
108,Moist_Mixed_Deciduous_Forest,Reserve,29.61637961,0.25,118.46551844,2.09472904752765,0.861111111111111
109,Moist_Mixed_Deciduous_Forest,Reserve,24.18825136,0.25,96.75300544,2.18732231884925,0.875
110,Moist_Mixed_Deciduous_Forest,Reserve,22.73640463,0.25,90.94561852,2.21610224809126,0.882716049382716
111,Moist_Mixed_Deciduous_Forest,Reserve,9.66008352,0.25,38.64033408,1.69574253416963,0.8
112,Moist_Mixed_Deciduous_Forest,Reserve,9.649798839,0.25,38.599195356,2.13524025752672,0.845679012345679
113,Moist_Mixed_Deciduous_Forest,Reserve,24.33985223,0.25,97.35940892,2.43079132887823,0.906666666666667
114,Moist_Mixed_Deciduous_Forest,Reserve,20.83925382,0.25,83.35701528,2.13833305950803,0.875
115,Moist_Mixed_Deciduous_Forest,Reserve,17.43284992,0.25,69.73139968,2.52997646182267,0.892857142857143
116,Moist_Mixed_Deciduous_Forest,Unclassifed_Forest,6.406337805,0.25,25.62535122,0.636514168294813,0.444444444444444
117,Moist_Mixed_Deciduous_Forest,Unclassifed_Forest,5.5438238,0.25,22.1752952,1.09861228866811,0.666666666666667
119,Moist_Mixed_Deciduous_Forest,Unclassifed_Forest,8.397355336,0.25,33.589421344,1.79175946922805,0.833333333333333
