Plot_id,Forest_type,Tenure,C_Tree_total,Scale_factor,C_ha,Shannon_index,Simpson_index,Mean_temperature,Mean_precipitation,precipitation_of_wettest_month,pecipiation_of_dryiest_month,Pieolou_evenness
43,Dry_Forest,Protected_Area,25.6630071,0.04,641.5751776,0,0,25.58096334,750.6490515,146.466,1,NA
44,Dry_Forest,Protected_Area,14.50053092,0.04,362.513273,0.693147181,0.5,25.52370761,751.7945341,146.6904,1,1
45,Dry_Forest,Protected_Area,21.47772285,0.04,536.9430713,0.693147181,0.5,25.51908756,751.5410912,146.7012,1,1
46,Dry_Forest,Protected_Area,18.60006046,0.04,465.0015115,1.242453325,0.666666667,25.5577132,750.765367,146.6387418,1,0.896240625180289
47,Dry_Forest,Protected_Area,14.87120722,0.04,371.7801806,0.636514168,0.444444444,25.62635403,749.509879,146.4859698,1,0.918295834054489
48,Dry_Forest,Protected_Area,17.98403325,0.04,449.6008313,1.242453325,0.666666667,25.51489447,751.5529107,146.7705277,1,0.896240625180289
49,Dry_Forest,Protected_Area,19.58736657,0.04,489.6841643,0.636514168,0.444444444,25.53629583,751.020736,146.7510272,1,0.918295834054489
50,Dry_Forest,Protected_Area,22.38830479,0.04,559.7076198,0.693147181,0.5,25.65036407,748.7473645,146.4537411,1,1
51,Dry_Hill_Forest,Protected_Area,13.28829763,0.04,332.2074407,1.386294361,0.75,20.81035181,1053.970667,204.182644,1.8541496,1
52,Dry_Hill_Forest,Protected_Area,2.292340991,0.04,57.30852478,1.094488553,0.663923182,20.82872642,1049.281822,203.2354552,1.77996368,0.996246413755229
53,Dry_Hill_Forest,Protected_Area,6.19558656,0.04,154.889664,1.240684292,0.67768595,20.69912268,1064.493685,205.9815424,1.87639616,0.894964537655
54,Dry_Hill_Forest,Protected_Area,5.086862115,0.04,127.1715529,0.693147181,0.5,20.63012707,1075.42288,208.066,1.99064,1
55,Dry_Hill_Forest,Protected_Area,4.624467715,0.04,115.6116929,0.693147181,0.5,20.84582605,1046.800441,202.581723,1.7028,1
56,Dry_Hill_Forest,Protected_Area,2.631299304,0.04,65.7824826,0.348832096,0.197530864,21.15383003,1009.963251,195.6906266,1.4112,0.503258334775646
57,Dry_Hill_Forest,Protected_Area,7.307400262,0.04,182.6850066,1.263740679,0.703125,21.2734167,994.3348083,192.9313308,1.31712,0.911596205521549
58,Dry_Hill_Forest,Protected_Area,2.36358801,0.04,59.08970025,1.744250985,0.77914952,21.55537224,960.4136552,186.7390418,1.1004,0.838807415563783
59,Dry_Hill_Forest,Protected_Area,3.735834571,0.04,93.39586428,2.36073609,0.891966759,21.8391745,928.0288981,180.6615429,1,0.95003009085885
60,Dry_Hill_Forest,Protected_Area,5.481013196,0.04,137.0253299,1.33997874,0.659729448,21.76439525,937.24532,182.44372,1,0.747856374042625
61,Dry_Hill_Forest,Protected_Area,4.780258426,0.04,119.5064607,0.823959217,0.486111111,21.70427565,944.3720416,183.8205229,1.0032,0.75
62,Dry_Hill_Forest,Protected_Area,2.833922884,0.04,70.8480721,1.039720771,0.625,20.89157529,1052.783465,204.2552118,1.91206864,0.946394630357186
63,Dry_Hill_Forest,Protected_Area,4.188938028,0.04,104.7234507,0,0,20.86674724,1055.154603,204.6689824,1.9296304,NA
64,Dry_Hill_Forest,Protected_Area,20.17159729,0.04,504.2899324,1.054920168,0.64,20.84623074,1056.895578,204.9591232,1.9367872,0.960229717860761
65,Dry_Hill_Forest,Protected_Area,7.43418469,0.04,185.8546173,0.867563228,0.5,20.82014694,1059.467771,205.4129402,1.95622336,0.789690082142847
66,Dry_Hill_Forest,Protected_Area,13.58224942,0.04,339.5562354,0.867563228,0.5,20.7627295,1064.673486,206.3035792,1.9814632,0.789690082142847
67,Dry_Hill_Forest,Protected_Area,27.11016122,0.04,677.7540305,1.011404265,0.611111111,20.74231424,1066.436744,206.599408,1.986568,0.920619835714305
68,Dry_Hill_Forest,Protected_Area,5.238328931,0.04,130.9582233,0.679193266,0.486111111,20.71822995,1068.683886,206.9879066,1.99691776,0.979868756651153
69,Dry_Hill_Forest,Protected_Area,7.826264316,0.04,195.6566079,0.693147181,0.5,20.69768934,1070.392941,207.2700621,1.99874368,1
70,Dry_Hill_Forest,Protected_Area,4.158382767,0.04,103.9595692,0.636514168,0.444444444,20.68597735,1070.849219,207.317584,1.9897856,0.918295834054489
77,Dry_Mixed_Deciduous_Forest,Protected_Area,1.979312306,0.04,49.48280765,0.661563238,0.46875,22.7059367,893.7312,174.9062013,1,0.954434002924965
78,Dry_Mixed_Deciduous_Forest,Protected_Area,2.661368662,0.04,66.53421655,2.06877989,0.847222222,22.31227695,925.2225107,180.9816774,1.2056,0.862748225026423
